   ;PAY;CNT;PAY_DATE
692;47895737,66;84677;22.11.2013
693;40682345,71;71751;23.11.2013
694;6345804,67;10740;24.11.2013
695;51427810,19;89849;25.11.2013
696;44609881,83;74034;26.11.2013
697;37671669,32;61768;27.11.2013
698;37149826,89;60290;28.11.2013
699;41720329,67;66285;29.11.2013
700;36661330,91;56122;30.11.2013
701;3836977,16;5070;01.12.2013
702;25508303,36;31985;02.12.2013
703;21142687,27;25113;03.12.2013
704;18538275,3;21739;04.12.2013
705;16088523,23;18155;05.12.2013
706;16019899,91;17214;06.12.2013
707;14091993,49;16010;07.12.2013
708;2063177,42;2338;08.12.2013
709;16287813,64;18437;09.12.2013
710;15887567,33;17594;10.12.2013
711;15781937,83;18234;11.12.2013
712;17399982,7;20943;12.12.2013
713;17646659,48;23070;13.12.2013
714;20957705,76;28397;14.12.2013
715;4026781,06;6223;15.12.2013
716;38549109;62599;16.12.2013
717;45209905,27;75509;17.12.2013
718;49344226,71;84163;18.12.2013
719;50542329;85358;19.12.2013
720;53327381,33;89808;20.12.2013
721;47403741,58;78390;21.12.2013
722;8076428,23;13107;22.12.2013
723;61197135,75;100982;23.12.2013
724;58460592,35;94404;24.12.2013
725;54684343,81;86008;25.12.2013
726;50797437,9;75203;26.12.2013
727;49321414,19;71007;27.12.2013
728;46078854,68;64897;28.12.2013
729;11470859,15;15611;29.12.2013
730;55266956,11;73678;30.12.2013
731;6141737,67;8358;31.12.2013
732;408049,95;515;01.01.2014
733;397593,46;424;02.01.2014
734;525493,21;558;03.01.2014
735;1017390,67;1345;04.01.2014
736;197668,69;261;05.01.2014
737;178773,24;174;06.01.2014
738;97459,87;101;07.01.2014
739;153866,06;176;08.01.2014
740;33569818,72;39714;09.01.2014
741;22515691,89;25417;10.01.2014
742;17957037,64;20137;11.01.2014
743;2346207,5;2716;12.01.2014
744;19311617,52;23024;13.01.2014
745;19345861,93;25457;14.01.2014
746;23622712,7;32938;15.01.2014
747;26441290,69;38875;16.01.2014
748;28900621,92;45215;17.01.2014
749;31543418,88;51124;18.01.2014
750;7099864,2;12075;19.01.2014
751;55428810,52;98059;20.01.2014
752;63001131,51;110330;21.01.2014
753;64326464,99;110836;22.01.2014
754;60213050,68;102542;23.01.2014
755;61212207,45;103624;24.01.2014
756;50477787,8;84515;25.01.2014
757;7664587,3;12356;26.01.2014
758;57899938,58;94537;27.01.2014
759;52297827,38;82960;28.01.2014
760;45850926,23;71278;29.01.2014
761;43817513,64;67404;30.01.2014
762;42019568,89;61370;31.01.2014
763;24778584,29;31072;01.02.2014
764;3808113,4;4404;02.02.2014
765;25529048,67;29827;03.02.2014
766;21242278,55;23176;04.02.2014
767;19982246,3;21821;05.02.2014
768;18071975,37;19413;06.02.2014
769;15880499,93;16977;07.02.2014
770;14052229,15;15685;08.02.2014
771;2380488,01;2715;09.02.2014
772;19950768,02;21361;10.02.2014
773;18315298,91;20368;11.02.2014
774;18530731,77;21403;12.02.2014
775;18502371,59;23494;13.02.2014
776;24621778,97;34399;14.02.2014
777;28690157,95;42347;15.02.2014
